symbol,current_price,predicted_price,predicted_return_pct,confidence,recommendation,risk_level,pe_ratio,dividend_yield,news_sentiment,analysis_time,composite_score
SPGI,530.1,527.2373738691447,-0.5400162480391146,0.714357474574935,HOLD,LOW,38.468796,0.73,0.11059040554353054,2.538856029510498,-0.003857646431786537
JNJ,207.56,206.20869946662313,-0.6510409199156252,0.608867443623438,HOLD,LOW,20.0735,2.5,-0.002256595091416523,2.3852548599243164,-0.003963976206032781
BLK,1088.4,1082.7738912652362,-0.5169155397614732,0.76743790076499,BUY,LOW,28.008234,1.92,0.12523101281434615,2.359998941421509,-0.003967005767073467
MCD,308.53,306.75227761093583,-0.5761910961864772,0.6949259989978361,SELL,LOW,26.528805,2.39,0.1397218263989097,2.411968946456909,-0.00400410173131046
MSFT,487.1,484.30070495041304,-0.5746859062999359,0.7616572183694035,HOLD,LOW,34.71846,0.75,0.11882155043204153,2.6862902641296387,-0.004377136688285088
META,658.69,654.9337424790778,-0.5702618107034119,0.817884043418386,HOLD,LOW,29.32725,0.32,0.11388635585231568,2.644155979156494,-0.0046640803554519675
C,118.13,117.17366254139266,-0.8095635813149383,0.6093338497044052,HOLD,LOW,16.924068,1.99,0.11384650072150074,1.7553400993347168,-0.004932944935831166
WM,222.29,220.5841618779852,-0.767393100011155,0.6829275280957038,HOLD,LOW,34.84169,1.49,0.14757746362433863,2.189661979675293,-0.005240738728683173
GE,311.58,308.9481720560285,-0.8446716554244409,0.6681520144673848,HOLD,LOW,42.21951,0.46,0.09150004509379508,2.2284317016601562,-0.005643690681353409
AMGN,329.63,326.93557679850494,-0.8174083674104469,0.7184677635789158,HOLD,LOW,25.772478,2.9,0.11050508307279142,2.492805004119873,-0.005872815616640765
ABT,124.57,123.5470636280134,-0.8211739359288663,0.7189621117988502,SELL,LOW,15.669183,2.02,0.1406613621993086,2.38983416557312,-0.005903929471295914
WFC,94.52,93.71855240010764,-0.8479132457600042,0.7165444532449408,HOLD,LOW,15.700996,1.89,0.11285825016033348,2.4295029640197754,-0.006075675330822453
NEE,80.27,79.36983658601822,-1.1214194767432073,0.6002238304952405,SELL,LOW,25.482538,2.82,0.09207386363636363,2.28969407081604,-0.006731026939227763
LLY,1078.73,1066.2774269454492,-1.154373481274354,0.6081882557477625,SELL,LOW,52.904858,0.58,0.10646309940059939,2.430690050125122,-0.007020763940577217
CVX,150.99,149.16482019361882,-1.2088084021333771,0.6372590065844337,HOLD,LOW,21.08799,4.56,0.13293749248436745,2.464576005935669,-0.0077032404149443255
PM,161.94,160.05016363286586,-1.166997880161873,0.663211174653038,SELL,LOW,23.002842,3.65,0.1462878787878788,1.9355220794677734,-0.007739660349197612
CI,276.01,272.26844057665244,-1.3555883567072038,0.6087041733451305,SELL,LOW,12.239912,2.18,0.11384650072150074,2.0978927612304688,-0.008251522900657423
CTSH,85.0,84.03713395648276,-1.1327835806085151,0.795928500151154,SELL,LOW,19.81352,1.45,0.13262887694391345,2.6558139324188232,-0.009016147363095894
NFLX,94.15,92.77917765538211,-1.455998241760905,0.6523006330976935,SELL,MEDIUM,39.558823,0.0,0.09116215034965036,2.417173147201538,-0.00949748574889767
INTU,674.15,660.5173166753704,-2.0222032670221206,0.6775125870928018,SELL,LOW,46.525192,0.66,0.0983513214629286,2.4935429096221924,-0.013700681670676729
MPWR,930.04,912.6623379696805,-1.8684854447464057,0.744077830444491,SELL,LOW,24.270355,0.66,0.14230059022767355,2.523162841796875,-0.013902985959440155
CDNS,317.71,310.8701639798378,-2.1528551257946495,0.704303234911507,SELL,LOW,81.88402,0.0,0.13437739498156168,2.5019290447235107,-0.015162628293929913
KLAC,1260.39,1232.4950749060667,-2.2131979065157092,0.7868584727448176,SELL,LOW,40.165394,0.59,0.0947600693577256,2.6525208950042725,-0.017414735246029784
AMAT,263.05,253.58264260419023,-3.5990714296938924,0.7251815015075891,SELL,LOW,30.200916,0.7,0.12115718659096636,2.4967241287231445,-0.02609980023418482
ABBV,230.84,221.61616333454293,-3.9957705187389845,0.7252200646059598,SELL,LOW,174.87878,3.01,0.15037667791313625,2.6888909339904785,-0.028978129537504754
